run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,90.07,0.0,0.0,0.0
0,1,0,88.08,89.48,0.0,0.0
0,2,0,86.2,82.69,63.15,0.0
0,3,0,82.01,60.97,46.49,80.44
1,0,0,95.61,0.0,0.0,0.0
1,1,0,90.78,83.56,0.0,0.0
1,2,0,91.9,75.51,95.15,0.0
1,3,0,84.59,44.67,76.96,69.8
2,0,0,83.8,0.0,0.0,0.0
2,1,0,85.35,83.07,0.0,0.0
2,2,0,72.48,53.84,96.38,0.0
2,3,0,67.7,68.4,67.12,85.16
3,0,0,81.94,0.0,0.0,0.0
3,1,0,77.77,97.79,0.0,0.0
3,2,0,54.74,91.62,78.92,0.0
3,3,0,47.4,75.08,50.06,92.57
4,0,0,49.16,0.0,0.0,0.0
4,1,0,38.92,87.36,0.0,0.0
4,2,0,88.19,80.55,65.34,0.0
4,3,0,71.2,66.7,58.69,78.86
