task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,86.73,0.0,0.0,0.0,86.73,86.73
0,1,93.65,0.0,0.0,0.0,93.65,93.65
0,2,94.93,0.0,0.0,0.0,94.93,94.93
1,0,86.56,83.72,0.0,0.0,85.14,83.72
1,1,71.26,91.89,0.0,0.0,81.58,91.89
1,2,72.03,96.17,0.0,0.0,84.1,96.17
2,0,72.74,66.81,86.47,0.0,75.34,86.47
2,1,72.04,73.33,91.75,0.0,79.04,91.75
2,2,70.26,66.0,94.21,0.0,76.82,94.21
3,0,60.54,48.8,68.95,85.82,66.03,85.82
3,1,62.75,52.08,61.64,92.77,67.31,92.77
3,2,58.23,47.32,52.6,96.44,63.65,96.44
