task_1,task_2,task_3,task_4,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
62.9,0.0,0.0,0.0,0,0,15.725,62.9,0.0
60.23199999999999,0.0,0.0,0.0,0,1,15.057999999999998,60.23199999999999,2.6680000000000064
74.166,0.0,0.0,0.0,0,2,18.5415,74.166,-11.265999999999998
82.674,0.0,0.0,0.0,0,3,20.6685,82.674,-8.50800000000001
82.81,0.0,0.0,0.0,0,4,20.7025,82.81,-0.13599999999999568
59.65599999999999,72.434,0.0,0.0,1,0,33.022499999999994,66.04499999999999,23.15400000000001
68.368,83.872,0.0,0.0,1,1,38.06,76.12,1.5020000000000024
69.726,86.936,0.0,0.0,1,2,39.1655,78.331,5.009999999999998
68.648,90.692,0.0,0.0,1,3,39.834999999999994,79.66999999999999,5.20300000000001
66.916,91.404,0.0,0.0,1,4,39.58,79.16,7.591000000000001
68.732,72.546,72.434,0.0,2,0,53.428000000000004,71.23733333333334,16.467999999999996
69.902,67.998,77.65,0.0,2,1,53.8875,71.85000000000001,10.365999999999994
70.454,68.074,85.376,0.0,2,2,55.976,74.63466666666666,9.320000000000002
68.22200000000001,68.648,88.27000000000001,0.0,2,3,56.285000000000004,75.04666666666667,11.483333333333329
68.11,68.77799999999999,88.444,0.0,2,4,56.333,75.11066666666666,12.384000000000006
63.553999999999995,70.51,73.728,68.988,3,0,69.195,69.195,18.288666666666668
62.17,68.502,71.26,79.67999999999999,3,1,70.403,70.403,12.508500000000002
62.81,69.224,69.88199999999999,85.054,3,2,71.7425,71.7425,13.841999999999999
64.69200000000001,68.576,78.014,85.74,3,3,74.2555,74.2555,12.672500000000003
64.238,70.022,77.438,86.108,3,4,74.4515,74.4515,12.647999999999996
