task,cycle,task_1,task_2,task_3,task_4,average_accuracy,learning_accuracy
0,0,84.27,0.0,0.0,0.0,84.27,84.27
0,1,95.42,0.0,0.0,0.0,95.42,95.42
0,2,96.59,0.0,0.0,0.0,96.59,96.59
1,0,86.21,80.05,0.0,0.0,83.13,80.05
1,1,86.16,90.94,0.0,0.0,88.55,90.94
1,2,83.95,91.82,0.0,0.0,87.88,91.82
2,0,77.64,81.51,78.26,0.0,79.14,78.26
2,1,83.82,81.49,86.84,0.0,84.05,86.84
2,2,81.08,78.5,90.0,0.0,83.19,90.0
3,0,77.12,62.6,81.3,83.06,76.02,83.06
3,1,78.83,59.95,77.88,93.22,77.47,93.22
3,2,80.56,62.92,80.47,93.78,79.43,93.78
