task_1,task_2,task_3,task_4,task,cycle,average_accuracy,learning_accuracy
82.14,0.0,0.0,0.0,0,0,82.14,82.14
83.06,0.0,0.0,0.0,0,1,83.06,83.06
85.08,0.0,0.0,0.0,0,2,85.08,85.08
90.06,83.5,0.0,0.0,1,0,86.78,83.5
98.35,94.6,0.0,0.0,1,1,96.48,94.6
99.45,96.41,0.0,0.0,1,2,97.93,96.41
97.24,97.41,88.5,0.0,2,0,94.38,88.5
92.63,94.49,93.33,0.0,2,1,93.48,93.33
95.4,95.75,93.25,0.0,2,2,94.8,93.25
94.29,93.67,95.59,80.7,3,0,91.06,80.7
94.66,94.12,96.23,90.28,3,1,93.82,90.28
94.29,94.0,95.17,91.48,3,2,93.74,91.48
